timeOpen,Close,Open,High,Low,volume,Chg.(%)
2021/9/19,47238.70 ,48299.90 ,48341.90 ,46866.60 ,41.98K,(0.02)
2021/9/18,48306.70 ,47283.90 ,48761.00 ,47070.50 ,43.64K,0.02 
2021/9/17,47282.80 ,47748.20 ,48155.90 ,46788.80 ,50.16K,(0.01)
2021/9/16,47748.00 ,48132.30 ,48480.60 ,47040.30 ,60.91K,(0.01)
2021/9/15,48130.60 ,47070.80 ,48436.50 ,46743.90 ,63.40K,0.02 
2021/9/14,47077.50 ,44950.20 ,47247.60 ,44718.70 ,65.33K,0.05 
2021/9/13,44949.50 ,46060.80 ,46807.70 ,43463.20 ,96.15K,(0.02)
2021/9/12,46062.30 ,45162.60 ,46386.40 ,44755.20 ,44.52K,0.02 
2021/9/11,45161.90 ,44844.90 ,45975.60 ,44766.60 ,41.58K,0.01 
2021/9/10,44842.80 ,46385.90 ,47021.60 ,44283.60 ,75.62K,(0.03)
2021/9/9,46385.60 ,46057.60 ,47305.70 ,45609.00 ,73.63K,0.01 
2021/9/8,46061.40 ,46774.10 ,47316.90 ,44493.70 ,100.48K,(0.02)
2021/9/7,46779.60 ,52674.20 ,52885.30 ,43072.40 ,187.56K,(0.11)
2021/9/6,52672.10 ,51769.40 ,52726.20 ,51002.80 ,69.46K,0.02 
2021/9/5,51768.60 ,49918.70 ,51878.20 ,49492.40 ,57.30K,0.04 
2021/9/4,49918.40 ,49999.30 ,50534.60 ,49461.40 ,48.14K,(0.00)
2021/9/3,49999.00 ,49269.50 ,51008.80 ,48377.30 ,88.08K,0.01 
2021/9/2,49274.30 ,48817.80 ,50355.30 ,48612.90 ,80.21K,0.01 
2021/9/1,48819.40 ,47129.20 ,49121.00 ,46533.10 ,74.38K,0.04 
2021/8/31,47130.40 ,46989.10 ,48217.00 ,46709.30 ,71.48K,0.00 
2021/8/30,46992.70 ,48777.10 ,48886.00 ,46876.90 ,61.68K,(0.04)
2021/8/29,48777.40 ,48899.70 ,49621.70 ,47870.10 ,47.62K,(0.00)
2021/8/28,48897.10 ,49062.80 ,49289.40 ,48428.50 ,36.73K,(0.00)
2021/8/27,49064.30 ,46830.20 ,49142.00 ,46371.50 ,62.47K,0.05 
2021/8/26,46831.60 ,48994.40 ,49347.80 ,46360.40 ,73.79K,(0.04)
2021/8/25,48994.50 ,47707.40 ,49230.20 ,47163.30 ,63.54K,0.03 
2021/8/24,47714.70 ,49532.50 ,49847.40 ,47623.60 ,74.26K,(0.04)
2021/8/23,49539.70 ,49255.40 ,50498.80 ,49038.60 ,75.37K,0.01 
2021/8/22,49254.50 ,48870.40 ,49480.30 ,48151.00 ,49.32K,0.01 
2021/8/21,48875.80 ,49330.00 ,49719.10 ,48293.50 ,18.20K,(0.01)
2021/8/20,49324.00 ,46756.70 ,49343.30 ,46646.80 ,83.19K,0.05 
2021/8/19,46755.90 ,44725.90 ,47012.30 ,43986.70 ,77.92K,0.05 
2021/8/18,44723.80 ,44691.10 ,46004.90 ,44230.00 ,22.36K,0.00 
2021/8/17,44691.60 ,45907.50 ,47140.60 ,44441.30 ,84.14K,(0.03)
2021/8/16,45996.30 ,46991.60 ,48002.40 ,45672.10 ,2.41K,(0.02)
2021/8/15,46991.30 ,47082.60 ,47344.10 ,45564.10 ,58.11K,(0.00)
2021/8/14,47081.50 ,47809.60 ,48090.90 ,46117.20 ,64.29K,(0.02)
2021/8/13,47809.10 ,44404.00 ,47836.00 ,44242.40 ,75.27K,0.08 
2021/8/12,44403.40 ,45562.30 ,46213.80 ,43814.70 ,81.07K,(0.03)
